Date;Time;PT08.S5(O3)
09.09.2004;20.00.00;1606
09.09.2004;21.00.00;1297
09.09.2004;22.00.00;1182
09.09.2004;23.00.00;1138
10.09.2004;00.00.00;972
10.09.2004;01.00.00;799
10.09.2004;02.00.00;630
10.09.2004;03.00.00;586
10.09.2004;04.00.00;629
10.09.2004;05.00.00;709
10.09.2004;06.00.00;858
10.09.2004;07.00.00;1300
10.09.2004;08.00.00;1676
10.09.2004;09.00.00;1384
10.09.2004;10.00.00;1125
10.09.2004;11.00.00;1189
10.09.2004;12.00.00;1088
10.09.2004;13.00.00;1118
10.09.2004;14.00.00;924
10.09.2004;15.00.00;935
10.09.2004;16.00.00;1009
10.09.2004;17.00.00;1016
10.09.2004;18.00.00;1188
10.09.2004;19.00.00;1290
10.09.2004;20.00.00;1130
10.09.2004;21.00.00;880
10.09.2004;22.00.00;996
10.09.2004;23.00.00;1054
11.09.2004;00.00.00;1081
11.09.2004;01.00.00;828
11.09.2004;02.00.00;661
11.09.2004;03.00.00;582
11.09.2004;04.00.00;544
11.09.2004;05.00.00;647
11.09.2004;06.00.00;720
11.09.2004;07.00.00;1207
11.09.2004;08.00.00;1273
11.09.2004;09.00.00;1303
11.09.2004;10.00.00;1479
11.09.2004;11.00.00;1191
11.09.2004;12.00.00;932
11.09.2004;13.00.00;826
11.09.2004;14.00.00;631
11.09.2004;15.00.00;598
11.09.2004;16.00.00;796
11.09.2004;17.00.00;759
11.09.2004;18.00.00;886
11.09.2004;19.00.00;1071
11.09.2004;20.00.00;826
11.09.2004;21.00.00;1103
11.09.2004;22.00.00;1221
11.09.2004;23.00.00;1449
12.09.2004;00.00.00;1364
12.09.2004;01.00.00;1111
12.09.2004;02.00.00;1129
12.09.2004;03.00.00;799
12.09.2004;04.00.00;771
12.09.2004;05.00.00;646
12.09.2004;06.00.00;705
12.09.2004;07.00.00;908
12.09.2004;08.00.00;1047
12.09.2004;09.00.00;1015
12.09.2004;10.00.00;938
12.09.2004;11.00.00;849
12.09.2004;12.00.00;844
12.09.2004;13.00.00;1036
12.09.2004;14.00.00;729
12.09.2004;15.00.00;556
12.09.2004;16.00.00;846
12.09.2004;17.00.00;942
12.09.2004;18.00.00;902
12.09.2004;19.00.00;1178
12.09.2004;20.00.00;1426
12.09.2004;21.00.00;1394
12.09.2004;22.00.00;1935
12.09.2004;23.00.00;1360
13.09.2004;00.00.00;1061
13.09.2004;01.00.00;870
13.09.2004;02.00.00;799
13.09.2004;03.00.00;779
13.09.2004;04.00.00;809
13.09.2004;05.00.00;914
13.09.2004;06.00.00;1033
13.09.2004;07.00.00;1572
13.09.2004;08.00.00;1704
13.09.2004;09.00.00;1455
13.09.2004;10.00.00;1588
13.09.2004;11.00.00;1482
13.09.2004;12.00.00;1458
13.09.2004;13.00.00;1356
13.09.2004;14.00.00;1100
13.09.2004;15.00.00;1212
13.09.2004;16.00.00;1049
13.09.2004;17.00.00;1149
13.09.2004;18.00.00;1370
13.09.2004;19.00.00;1716
13.09.2004;20.00.00;1600
13.09.2004;21.00.00;1592
13.09.2004;22.00.00;1491
13.09.2004;23.00.00;1084
14.09.2004;00.00.00;1007
14.09.2004;01.00.00;823
14.09.2004;02.00.00;788
14.09.2004;03.00.00;791
14.09.2004;04.00.00;924
14.09.2004;05.00.00;941
14.09.2004;06.00.00;1103
14.09.2004;07.00.00;1657
14.09.2004;08.00.00;1743
14.09.2004;09.00.00;1601
14.09.2004;10.00.00;1253
14.09.2004;11.00.00;1295
14.09.2004;12.00.00;1192
14.09.2004;13.00.00;1046
14.09.2004;14.00.00;803
14.09.2004;15.00.00;1116
14.09.2004;16.00.00;1347
14.09.2004;17.00.00;1530
14.09.2004;18.00.00;1240
14.09.2004;19.00.00;1092
14.09.2004;20.00.00;740
14.09.2004;21.00.00;670
14.09.2004;22.00.00;640
14.09.2004;23.00.00;918
15.09.2004;00.00.00;804
15.09.2004;01.00.00;694
15.09.2004;02.00.00;796
15.09.2004;03.00.00;804
15.09.2004;04.00.00;829
15.09.2004;05.00.00;848
15.09.2004;06.00.00;992
15.09.2004;07.00.00;1256
15.09.2004;08.00.00;1598
15.09.2004;09.00.00;1403
15.09.2004;10.00.00;1497
15.09.2004;11.00.00;1500
15.09.2004;12.00.00;1549
15.09.2004;13.00.00;1374
15.09.2004;14.00.00;1270
15.09.2004;15.00.00;1360
15.09.2004;16.00.00;1296
15.09.2004;17.00.00;1319
15.09.2004;18.00.00;1649
15.09.2004;19.00.00;1686
15.09.2004;20.00.00;1380
15.09.2004;21.00.00;1079
15.09.2004;22.00.00;1096
15.09.2004;23.00.00;1049
16.09.2004;00.00.00;1161
16.09.2004;01.00.00;865
16.09.2004;02.00.00;768
16.09.2004;03.00.00;845
16.09.2004;04.00.00;843
16.09.2004;05.00.00;964
16.09.2004;06.00.00;1065
16.09.2004;07.00.00;1467
16.09.2004;08.00.00;1510
16.09.2004;09.00.00;1518
16.09.2004;10.00.00;1276
16.09.2004;11.00.00;873
16.09.2004;12.00.00;958
16.09.2004;13.00.00;1076
16.09.2004;14.00.00;952
16.09.2004;15.00.00;977
16.09.2004;16.00.00;1059
16.09.2004;17.00.00;1199
16.09.2004;18.00.00;1212
16.09.2004;19.00.00;1193
16.09.2004;20.00.00;1105
16.09.2004;21.00.00;926
16.09.2004;22.00.00;1231
16.09.2004;23.00.00;995
17.09.2004;00.00.00;1094
17.09.2004;01.00.00;774
17.09.2004;02.00.00;558
17.09.2004;03.00.00;510
17.09.2004;04.00.00;471
17.09.2004;05.00.00;471
17.09.2004;06.00.00;529
17.09.2004;07.00.00;1114
17.09.2004;08.00.00;987
17.09.2004;09.00.00;851
17.09.2004;10.00.00;901
17.09.2004;11.00.00;949
17.09.2004;12.00.00;855
17.09.2004;13.00.00;911
17.09.2004;14.00.00;672
17.09.2004;15.00.00;826
17.09.2004;16.00.00;988
17.09.2004;17.00.00;1105
17.09.2004;18.00.00;1089
17.09.2004;19.00.00;1077
17.09.2004;20.00.00;923
17.09.2004;21.00.00;824
17.09.2004;22.00.00;717
17.09.2004;23.00.00;734
18.09.2004;00.00.00;776
18.09.2004;01.00.00;594
18.09.2004;02.00.00;518
18.09.2004;03.00.00;496
18.09.2004;04.00.00;514
18.09.2004;05.00.00;468
18.09.2004;06.00.00;621
18.09.2004;07.00.00;757
18.09.2004;08.00.00;712
18.09.2004;09.00.00;859
18.09.2004;10.00.00;728
18.09.2004;11.00.00;640
18.09.2004;12.00.00;680
18.09.2004;13.00.00;704
18.09.2004;14.00.00;619
18.09.2004;15.00.00;583
18.09.2004;16.00.00;594
18.09.2004;17.00.00;700
18.09.2004;18.00.00;912
18.09.2004;19.00.00;1038
18.09.2004;20.00.00;952
18.09.2004;21.00.00;887
18.09.2004;22.00.00;1004
18.09.2004;23.00.00;1221
19.09.2004;00.00.00;1177
19.09.2004;01.00.00;957
19.09.2004;02.00.00;853
19.09.2004;03.00.00;884
19.09.2004;04.00.00;736
19.09.2004;05.00.00;590
19.09.2004;06.00.00;655
19.09.2004;07.00.00;854
19.09.2004;08.00.00;953
19.09.2004;09.00.00;1050
19.09.2004;10.00.00;1114
19.09.2004;11.00.00;1049
19.09.2004;12.00.00;996
19.09.2004;13.00.00;841
19.09.2004;14.00.00;769
19.09.2004;15.00.00;541
19.09.2004;16.00.00;742
19.09.2004;17.00.00;1196
19.09.2004;18.00.00;1338
19.09.2004;19.00.00;1416
19.09.2004;20.00.00;1341
19.09.2004;21.00.00;1019
19.09.2004;22.00.00;935
19.09.2004;23.00.00;1081
20.09.2004;00.00.00;903
20.09.2004;01.00.00;731
20.09.2004;02.00.00;625
20.09.2004;03.00.00;613
20.09.2004;04.00.00;646
20.09.2004;05.00.00;671
20.09.2004;06.00.00;801
20.09.2004;07.00.00;1353
20.09.2004;08.00.00;1682
20.09.2004;09.00.00;1749
20.09.2004;10.00.00;1582
20.09.2004;11.00.00;1484
20.09.2004;12.00.00;1321
20.09.2004;13.00.00;1125
20.09.2004;14.00.00;967
20.09.2004;15.00.00;975
20.09.2004;16.00.00;1025
20.09.2004;17.00.00;1469
20.09.2004;18.00.00;1648
20.09.2004;19.00.00;1785
20.09.2004;20.00.00;1371
20.09.2004;21.00.00;1071
20.09.2004;22.00.00;1118
20.09.2004;23.00.00;931
21.09.2004;00.00.00;722
21.09.2004;01.00.00;773
21.09.2004;02.00.00;665
21.09.2004;03.00.00;594
21.09.2004;04.00.00;565
21.09.2004;05.00.00;688
21.09.2004;06.00.00;974
21.09.2004;07.00.00;1591
21.09.2004;08.00.00;1820
21.09.2004;09.00.00;1807
21.09.2004;10.00.00;1704
21.09.2004;11.00.00;1270
21.09.2004;12.00.00;1265
21.09.2004;13.00.00;1226
21.09.2004;14.00.00;987
21.09.2004;15.00.00;1024
21.09.2004;16.00.00;1127
21.09.2004;17.00.00;1442
21.09.2004;18.00.00;1639
21.09.2004;19.00.00;1624
21.09.2004;20.00.00;1454
21.09.2004;21.00.00;1138
21.09.2004;22.00.00;951
21.09.2004;23.00.00;864
22.09.2004;00.00.00;868
22.09.2004;01.00.00;825
22.09.2004;02.00.00;626
22.09.2004;03.00.00;605
22.09.2004;04.00.00;822
22.09.2004;05.00.00;905
22.09.2004;06.00.00;1075
22.09.2004;07.00.00;1541
22.09.2004;08.00.00;1749
22.09.2004;09.00.00;1798
22.09.2004;10.00.00;1584
22.09.2004;11.00.00;1441
22.09.2004;12.00.00;1093
22.09.2004;13.00.00;1019
22.09.2004;14.00.00;944
22.09.2004;15.00.00;1046
22.09.2004;16.00.00;1089
22.09.2004;17.00.00;1537
22.09.2004;18.00.00;1566
22.09.2004;19.00.00;1510
22.09.2004;20.00.00;1300
22.09.2004;21.00.00;1058
22.09.2004;22.00.00;1002
22.09.2004;23.00.00;923
23.09.2004;00.00.00;836
23.09.2004;01.00.00;779
23.09.2004;02.00.00;678
23.09.2004;03.00.00;601
23.09.2004;04.00.00;593
23.09.2004;05.00.00;670
23.09.2004;06.00.00;837
23.09.2004;07.00.00;1400
23.09.2004;08.00.00;1393
23.09.2004;09.00.00;1415
23.09.2004;10.00.00;1285
23.09.2004;11.00.00;1230
23.09.2004;12.00.00;1147
23.09.2004;13.00.00;1107
23.09.2004;14.00.00;1068
23.09.2004;15.00.00;1115
23.09.2004;16.00.00;1362
23.09.2004;17.00.00;1619
23.09.2004;18.00.00;1572
23.09.2004;19.00.00;1446
23.09.2004;20.00.00;1233
23.09.2004;21.00.00;1102
23.09.2004;22.00.00;1028
23.09.2004;23.00.00;942
24.09.2004;00.00.00;773
24.09.2004;01.00.00;737
24.09.2004;02.00.00;815
24.09.2004;03.00.00;627
24.09.2004;04.00.00;642
24.09.2004;05.00.00;610
24.09.2004;06.00.00;929
24.09.2004;07.00.00;1427
24.09.2004;08.00.00;1776
24.09.2004;09.00.00;1788
24.09.2004;10.00.00;1521
24.09.2004;11.00.00;1293
24.09.2004;12.00.00;1435
24.09.2004;13.00.00;1592
24.09.2004;14.00.00;1551
24.09.2004;15.00.00;1429
24.09.2004;16.00.00;1195
24.09.2004;17.00.00;981
24.09.2004;18.00.00;962
24.09.2004;19.00.00;914
24.09.2004;20.00.00;785
24.09.2004;21.00.00;482
24.09.2004;22.00.00;446
24.09.2004;23.00.00;553
25.09.2004;00.00.00;592
25.09.2004;01.00.00;584
25.09.2004;02.00.00;451
25.09.2004;03.00.00;382
25.09.2004;04.00.00;391
25.09.2004;05.00.00;398
25.09.2004;06.00.00;430
25.09.2004;07.00.00;461
25.09.2004;08.00.00;500
25.09.2004;09.00.00;594
25.09.2004;10.00.00;603
25.09.2004;11.00.00;686
25.09.2004;12.00.00;622
25.09.2004;13.00.00;624
25.09.2004;14.00.00;565
25.09.2004;15.00.00;514
25.09.2004;16.00.00;536
25.09.2004;17.00.00;669
25.09.2004;18.00.00;786
25.09.2004;19.00.00;891
25.09.2004;20.00.00;926
25.09.2004;21.00.00;902
25.09.2004;22.00.00;1011
25.09.2004;23.00.00;1249
26.09.2004;00.00.00;1133
26.09.2004;01.00.00;1166
26.09.2004;02.00.00;953
26.09.2004;03.00.00;912
26.09.2004;04.00.00;831
26.09.2004;05.00.00;793
26.09.2004;06.00.00;700
26.09.2004;07.00.00;780
26.09.2004;08.00.00;931
26.09.2004;09.00.00;575
26.09.2004;10.00.00;507
26.09.2004;11.00.00;518
26.09.2004;12.00.00;518
26.09.2004;13.00.00;516
26.09.2004;14.00.00;507
26.09.2004;15.00.00;490
26.09.2004;16.00.00;465
26.09.2004;17.00.00;781
26.09.2004;18.00.00;765
26.09.2004;19.00.00;1006
26.09.2004;20.00.00;798
26.09.2004;21.00.00;938
26.09.2004;22.00.00;996
26.09.2004;23.00.00;1109
27.09.2004;00.00.00;1042
27.09.2004;01.00.00;940
27.09.2004;02.00.00;900
27.09.2004;03.00.00;774
27.09.2004;04.00.00;790
27.09.2004;05.00.00;908
27.09.2004;06.00.00;1035
27.09.2004;07.00.00;1556
27.09.2004;08.00.00;1392
27.09.2004;09.00.00;904
27.09.2004;10.00.00;936
27.09.2004;11.00.00;907
27.09.2004;12.00.00;744
27.09.2004;13.00.00;773
27.09.2004;14.00.00;812
27.09.2004;15.00.00;856
27.09.2004;16.00.00;927
27.09.2004;17.00.00;1131
27.09.2004;18.00.00;1270
27.09.2004;19.00.00;1365
27.09.2004;20.00.00;1274
27.09.2004;21.00.00;1169
27.09.2004;22.00.00;1000
27.09.2004;23.00.00;910
28.09.2004;00.00.00;829
28.09.2004;01.00.00;756
28.09.2004;02.00.00;742
28.09.2004;03.00.00;686
28.09.2004;04.00.00;677
28.09.2004;05.00.00;748
28.09.2004;06.00.00;890
28.09.2004;07.00.00;1155
28.09.2004;08.00.00;1533
28.09.2004;09.00.00;1550
28.09.2004;10.00.00;2236
28.09.2004;11.00.00;2178
28.09.2004;12.00.00;1901
28.09.2004;13.00.00;1743
28.09.2004;14.00.00;1502
28.09.2004;15.00.00;1153
28.09.2004;16.00.00;1287
28.09.2004;17.00.00;1547
28.09.2004;18.00.00;1842
28.09.2004;19.00.00;1908
28.09.2004;20.00.00;1693
28.09.2004;21.00.00;1336
28.09.2004;22.00.00;1177
28.09.2004;23.00.00;977
29.09.2004;00.00.00;974
29.09.2004;01.00.00;872
29.09.2004;02.00.00;734
29.09.2004;03.00.00;668
29.09.2004;04.00.00;698
29.09.2004;05.00.00;650
29.09.2004;06.00.00;749
29.09.2004;07.00.00;1106
29.09.2004;08.00.00;1609
29.09.2004;09.00.00;1770
29.09.2004;10.00.00;1633
29.09.2004;11.00.00;1583
29.09.2004;12.00.00;1449
29.09.2004;13.00.00;1451
29.09.2004;14.00.00;1147
29.09.2004;15.00.00;1108
29.09.2004;16.00.00;1267
29.09.2004;17.00.00;1303
29.09.2004;18.00.00;1643
29.09.2004;19.00.00;1749
29.09.2004;20.00.00;1585
29.09.2004;21.00.00;1315
29.09.2004;22.00.00;1290
29.09.2004;23.00.00;1059
30.09.2004;00.00.00;943
30.09.2004;01.00.00;913
30.09.2004;02.00.00;720
30.09.2004;03.00.00;640
30.09.2004;04.00.00;779
30.09.2004;05.00.00;850
30.09.2004;06.00.00;1020
30.09.2004;07.00.00;1605
30.09.2004;08.00.00;1866
30.09.2004;09.00.00;1621
30.09.2004;10.00.00;1712
30.09.2004;11.00.00;1770
30.09.2004;12.00.00;1175
30.09.2004;13.00.00;1157
30.09.2004;14.00.00;1219
30.09.2004;15.00.00;1288
30.09.2004;16.00.00;1503
30.09.2004;17.00.00;1861
30.09.2004;18.00.00;1781
30.09.2004;19.00.00;1745
30.09.2004;20.00.00;1590
30.09.2004;21.00.00;1127
30.09.2004;22.00.00;1098
30.09.2004;23.00.00;1176
01.10.2004;00.00.00;1178
01.10.2004;01.00.00;1091
01.10.2004;02.00.00;1002
01.10.2004;03.00.00;876
01.10.2004;04.00.00;824
01.10.2004;05.00.00;892
01.10.2004;06.00.00;1092
01.10.2004;07.00.00;1413
01.10.2004;08.00.00;1565
01.10.2004;09.00.00;1594
01.10.2004;10.00.00;1677
01.10.2004;11.00.00;1616
01.10.2004;12.00.00;1610
01.10.2004;13.00.00;1614
01.10.2004;14.00.00;-200
01.10.2004;15.00.00;1286
01.10.2004;16.00.00;1487
01.10.2004;17.00.00;1703
01.10.2004;18.00.00;1773
01.10.2004;19.00.00;1848
01.10.2004;20.00.00;1550
01.10.2004;21.00.00;1350
01.10.2004;22.00.00;1235
01.10.2004;23.00.00;1162
02.10.2004;00.00.00;1211
02.10.2004;01.00.00;1097
02.10.2004;02.00.00;1021
02.10.2004;03.00.00;913
02.10.2004;04.00.00;909
02.10.2004;05.00.00;983
02.10.2004;06.00.00;1024
02.10.2004;07.00.00;1243
02.10.2004;08.00.00;1253
02.10.2004;09.00.00;1240
02.10.2004;10.00.00;1155
02.10.2004;11.00.00;1193
02.10.2004;12.00.00;1153
02.10.2004;13.00.00;1034
02.10.2004;14.00.00;870
02.10.2004;15.00.00;890
02.10.2004;16.00.00;946
02.10.2004;17.00.00;1033
02.10.2004;18.00.00;1107
02.10.2004;19.00.00;1395
02.10.2004;20.00.00;1342
02.10.2004;21.00.00;1152
02.10.2004;22.00.00;1128
02.10.2004;23.00.00;1104
03.10.2004;00.00.00;1055
03.10.2004;01.00.00;904
03.10.2004;02.00.00;835
03.10.2004;03.00.00;781
03.10.2004;04.00.00;761
03.10.2004;05.00.00;742
03.10.2004;06.00.00;779
03.10.2004;07.00.00;894
03.10.2004;08.00.00;927
03.10.2004;09.00.00;1034
03.10.2004;10.00.00;1217
03.10.2004;11.00.00;1093
03.10.2004;12.00.00;1073
03.10.2004;13.00.00;969
03.10.2004;14.00.00;777
03.10.2004;15.00.00;743
03.10.2004;16.00.00;777
03.10.2004;17.00.00;819
03.10.2004;18.00.00;1056
03.10.2004;19.00.00;1481
03.10.2004;20.00.00;1590
03.10.2004;21.00.00;1211
03.10.2004;22.00.00;1052
03.10.2004;23.00.00;1000
04.10.2004;00.00.00;874
04.10.2004;01.00.00;852
04.10.2004;02.00.00;728
04.10.2004;03.00.00;713
04.10.2004;04.00.00;734
04.10.2004;05.00.00;777
04.10.2004;06.00.00;815
04.10.2004;07.00.00;1002
04.10.2004;08.00.00;1302
04.10.2004;09.00.00;1542
04.10.2004;10.00.00;1571
04.10.2004;11.00.00;1614
04.10.2004;12.00.00;1583
04.10.2004;13.00.00;1285
04.10.2004;14.00.00;1094
04.10.2004;15.00.00;1113
04.10.2004;16.00.00;1395
04.10.2004;17.00.00;1620
04.10.2004;18.00.00;1882
04.10.2004;19.00.00;2006
04.10.2004;20.00.00;1643
04.10.2004;21.00.00;1239
04.10.2004;22.00.00;1121
04.10.2004;23.00.00;1012
05.10.2004;00.00.00;961
05.10.2004;01.00.00;825
05.10.2004;02.00.00;703
05.10.2004;03.00.00;752
05.10.2004;04.00.00;741
05.10.2004;05.00.00;786
05.10.2004;06.00.00;952
05.10.2004;07.00.00;1601
05.10.2004;08.00.00;1621
05.10.2004;09.00.00;1622
05.10.2004;10.00.00;1759
05.10.2004;11.00.00;1666
05.10.2004;12.00.00;1918
05.10.2004;13.00.00;1525
05.10.2004;14.00.00;1332
05.10.2004;15.00.00;1183
05.10.2004;16.00.00;1414
05.10.2004;17.00.00;1680
05.10.2004;18.00.00;2004
05.10.2004;19.00.00;2094
05.10.2004;20.00.00;1780
05.10.2004;21.00.00;1640
05.10.2004;22.00.00;1379
05.10.2004;23.00.00;1139
06.10.2004;00.00.00;1001
06.10.2004;01.00.00;910
06.10.2004;02.00.00;895
06.10.2004;03.00.00;805
06.10.2004;04.00.00;761
06.10.2004;05.00.00;805
06.10.2004;06.00.00;894
06.10.2004;07.00.00;1439
06.10.2004;08.00.00;1706
06.10.2004;09.00.00;1756
06.10.2004;10.00.00;1493
06.10.2004;11.00.00;1567
06.10.2004;12.00.00;1376
06.10.2004;13.00.00;1399
06.10.2004;14.00.00;1293
06.10.2004;15.00.00;1348
06.10.2004;16.00.00;1314
06.10.2004;17.00.00;1507
06.10.2004;18.00.00;1660
06.10.2004;19.00.00;2143
06.10.2004;20.00.00;1968
06.10.2004;21.00.00;1490
06.10.2004;22.00.00;1249
06.10.2004;23.00.00;1265
07.10.2004;00.00.00;1181
07.10.2004;01.00.00;954
07.10.2004;02.00.00;875
07.10.2004;03.00.00;838
07.10.2004;04.00.00;825
07.10.2004;05.00.00;882
07.10.2004;06.00.00;990
07.10.2004;07.00.00;1423
07.10.2004;08.00.00;1823
07.10.2004;09.00.00;1581
07.10.2004;10.00.00;1500
07.10.2004;11.00.00;1268
07.10.2004;12.00.00;1230
07.10.2004;13.00.00;1204
07.10.2004;14.00.00;1205
07.10.2004;15.00.00;1103
07.10.2004;16.00.00;1195
07.10.2004;17.00.00;1618
07.10.2004;18.00.00;1637
07.10.2004;19.00.00;1876
07.10.2004;20.00.00;1959
07.10.2004;21.00.00;1477
07.10.2004;22.00.00;1210
07.10.2004;23.00.00;1160
08.10.2004;00.00.00;1116
08.10.2004;01.00.00;974
08.10.2004;02.00.00;820
08.10.2004;03.00.00;792
08.10.2004;04.00.00;839
08.10.2004;05.00.00;898
08.10.2004;06.00.00;1096
08.10.2004;07.00.00;1786
08.10.2004;08.00.00;1604
08.10.2004;09.00.00;1637
08.10.2004;10.00.00;1827
08.10.2004;11.00.00;1641
08.10.2004;12.00.00;1505
08.10.2004;13.00.00;1465
08.10.2004;14.00.00;1368
08.10.2004;15.00.00;1748
08.10.2004;16.00.00;1301
08.10.2004;17.00.00;1338
08.10.2004;18.00.00;1337
08.10.2004;19.00.00;1516
08.10.2004;20.00.00;1435
08.10.2004;21.00.00;1178
08.10.2004;22.00.00;1111
08.10.2004;23.00.00;1112
09.10.2004;00.00.00;1109
09.10.2004;01.00.00;1072
09.10.2004;02.00.00;1030
09.10.2004;03.00.00;935
09.10.2004;04.00.00;922
09.10.2004;05.00.00;1054
09.10.2004;06.00.00;1082
09.10.2004;07.00.00;1365
09.10.2004;08.00.00;1497
09.10.2004;09.00.00;1540
09.10.2004;10.00.00;1554
09.10.2004;11.00.00;1252
09.10.2004;12.00.00;1455
09.10.2004;13.00.00;1339
09.10.2004;14.00.00;1062
09.10.2004;15.00.00;1266
09.10.2004;16.00.00;1223
09.10.2004;17.00.00;1469
09.10.2004;18.00.00;1553
09.10.2004;19.00.00;1689
09.10.2004;20.00.00;1387
09.10.2004;21.00.00;1139
09.10.2004;22.00.00;960
09.10.2004;23.00.00;1293
10.10.2004;00.00.00;1357
10.10.2004;01.00.00;1103
10.10.2004;02.00.00;857
10.10.2004;03.00.00;658
10.10.2004;04.00.00;549
10.10.2004;05.00.00;627
10.10.2004;06.00.00;930
10.10.2004;07.00.00;1001
10.10.2004;08.00.00;917
10.10.2004;09.00.00;834
10.10.2004;10.00.00;796
10.10.2004;11.00.00;1040
10.10.2004;12.00.00;1110
10.10.2004;13.00.00;836
10.10.2004;14.00.00;704
10.10.2004;15.00.00;773
10.10.2004;16.00.00;811
10.10.2004;17.00.00;848
10.10.2004;18.00.00;892
10.10.2004;19.00.00;992
10.10.2004;20.00.00;950
10.10.2004;21.00.00;882
10.10.2004;22.00.00;883
10.10.2004;23.00.00;892
11.10.2004;00.00.00;836
11.10.2004;01.00.00;837
11.10.2004;02.00.00;498
11.10.2004;03.00.00;494
11.10.2004;04.00.00;507
11.10.2004;05.00.00;660
11.10.2004;06.00.00;902
11.10.2004;07.00.00;1240
11.10.2004;08.00.00;1395
11.10.2004;09.00.00;1625
11.10.2004;10.00.00;1359
11.10.2004;11.00.00;1152
11.10.2004;12.00.00;1159
11.10.2004;13.00.00;1179
11.10.2004;14.00.00;1227
11.10.2004;15.00.00;1119
11.10.2004;16.00.00;1243
11.10.2004;17.00.00;1449
11.10.2004;18.00.00;1405
11.10.2004;19.00.00;1444
11.10.2004;20.00.00;1386
11.10.2004;21.00.00;1102
11.10.2004;22.00.00;1041
11.10.2004;23.00.00;881
12.10.2004;00.00.00;791
12.10.2004;01.00.00;796
12.10.2004;02.00.00;647
12.10.2004;03.00.00;716
12.10.2004;04.00.00;719
12.10.2004;05.00.00;733
12.10.2004;06.00.00;835
12.10.2004;07.00.00;1094
12.10.2004;08.00.00;1114
12.10.2004;09.00.00;903
12.10.2004;10.00.00;914
12.10.2004;11.00.00;872
12.10.2004;12.00.00;860
12.10.2004;13.00.00;959
12.10.2004;14.00.00;814
12.10.2004;15.00.00;827
12.10.2004;16.00.00;804
12.10.2004;17.00.00;906
12.10.2004;18.00.00;958
12.10.2004;19.00.00;1032
12.10.2004;20.00.00;772
12.10.2004;21.00.00;618
12.10.2004;22.00.00;614
12.10.2004;23.00.00;550
13.10.2004;00.00.00;511
13.10.2004;01.00.00;469
13.10.2004;02.00.00;425
13.10.2004;03.00.00;394
13.10.2004;04.00.00;392
13.10.2004;05.00.00;408
13.10.2004;06.00.00;517
13.10.2004;07.00.00;750
13.10.2004;08.00.00;787
13.10.2004;09.00.00;788
13.10.2004;10.00.00;760
13.10.2004;11.00.00;839
13.10.2004;12.00.00;827
13.10.2004;13.00.00;765
13.10.2004;14.00.00;814
13.10.2004;15.00.00;737
13.10.2004;16.00.00;875
13.10.2004;17.00.00;983
13.10.2004;18.00.00;942
13.10.2004;19.00.00;971
13.10.2004;20.00.00;891
13.10.2004;21.00.00;724
13.10.2004;22.00.00;719
13.10.2004;23.00.00;705
14.10.2004;00.00.00;718
14.10.2004;01.00.00;584
14.10.2004;02.00.00;469
14.10.2004;03.00.00;438
14.10.2004;04.00.00;432
14.10.2004;05.00.00;487
14.10.2004;06.00.00;655
14.10.2004;07.00.00;1009
14.10.2004;08.00.00;1113
14.10.2004;09.00.00;1030
14.10.2004;10.00.00;986
14.10.2004;11.00.00;975
14.10.2004;12.00.00;984
14.10.2004;13.00.00;982
14.10.2004;14.00.00;1117
14.10.2004;15.00.00;1177
14.10.2004;16.00.00;1129
14.10.2004;17.00.00;1217
14.10.2004;18.00.00;1234
14.10.2004;19.00.00;1412
14.10.2004;20.00.00;1350
14.10.2004;21.00.00;968
14.10.2004;22.00.00;759
14.10.2004;23.00.00;741
15.10.2004;00.00.00;866
15.10.2004;01.00.00;757
15.10.2004;02.00.00;675
15.10.2004;03.00.00;624
15.10.2004;04.00.00;605
15.10.2004;05.00.00;703
15.10.2004;06.00.00;998
15.10.2004;07.00.00;1311
15.10.2004;08.00.00;1403
15.10.2004;09.00.00;1573
15.10.2004;10.00.00;1354
15.10.2004;11.00.00;1131
15.10.2004;12.00.00;1113
15.10.2004;13.00.00;1258
15.10.2004;14.00.00;985
15.10.2004;15.00.00;1197
15.10.2004;16.00.00;1402
15.10.2004;17.00.00;1491
15.10.2004;18.00.00;1396
15.10.2004;19.00.00;1198
15.10.2004;20.00.00;1166
15.10.2004;21.00.00;752
15.10.2004;22.00.00;717
15.10.2004;23.00.00;693
16.10.2004;00.00.00;816
16.10.2004;01.00.00;766
16.10.2004;02.00.00;631
16.10.2004;03.00.00;683
16.10.2004;04.00.00;654
16.10.2004;05.00.00;759
16.10.2004;06.00.00;876
16.10.2004;07.00.00;926
16.10.2004;08.00.00;1091
16.10.2004;09.00.00;1045
16.10.2004;10.00.00;928
16.10.2004;11.00.00;777
16.10.2004;12.00.00;640
16.10.2004;13.00.00;741
16.10.2004;14.00.00;483
16.10.2004;15.00.00;522
16.10.2004;16.00.00;718
16.10.2004;17.00.00;798
16.10.2004;18.00.00;1174
16.10.2004;19.00.00;891
16.10.2004;20.00.00;799
16.10.2004;21.00.00;855
16.10.2004;22.00.00;734
16.10.2004;23.00.00;691
17.10.2004;00.00.00;557
17.10.2004;01.00.00;523
17.10.2004;02.00.00;610
17.10.2004;03.00.00;574
17.10.2004;04.00.00;470
17.10.2004;05.00.00;434
17.10.2004;06.00.00;507
17.10.2004;07.00.00;467
17.10.2004;08.00.00;591
